"peakid","mz","rt","into","chemid","dbid","dbname"
1,664.118003121176,74.9130034446716,303022.395053037,1,"IROA_P01W01","NAD"
2,332.562508718853,74.9130034446716,196370.351917368,1,"IROA_P01W01","NAD"
3,542.06935867417,74.9130034446716,84401.6277332095,1,"IROA_P01W01","NAD"
4,665.120929925568,74.9130034446716,75311.6166369362,1,"IROA_P01W01","NAD"
5,333.063782616892,74.9130034446716,51325.2503081004,1,"IROA_P01W01","NAD"
6,686.099749959225,74.9130034446716,49965.3783083904,1,"IROA_P01W01","NAD"
7,123.055154093643,74.9130034446716,47608.3519222952,1,"IROA_P01W01","NAD"
8,524.058647170731,74.9130034446716,43952.7461625601,1,"IROA_P01W01","NAD"
9,564.050894121757,74.9130034446716,33665.4070254489,1,"IROA_P01W01","NAD"
10,580.01539989948,74.9130034446716,28148.3984071353,1,"IROA_P01W01","NAD"
11,428.036784512199,74.9130034446716,27833.2142711256,1,"IROA_P01W01","NAD"
12,666.122715615493,74.9130034446716,16549.822656107,1,"IROA_P01W01","NAD"
13,626.022114332565,74.9130034446716,16057.9998777219,1,"IROA_P01W01","NAD"
14,543.071480649719,74.9130034446716,14569.4719339058,1,"IROA_P01W01","NAD"
15,135.066351486726,31.0949993133545,202712.156805466,2,"IROA_P01W02","L-GLUTAMINE"
16,130.04945638973,31.0949993133545,101983.224972123,2,"IROA_P01W02","L-GLUTAMINE"
17,152.092398034559,31.0949993133545,61172.9213341514,2,"IROA_P01W02","L-GLUTAMINE"
18,147.075859695006,31.0949993133545,40568.4869079553,2,"IROA_P01W02","L-GLUTAMINE"
19,174.074363404724,31.0949993133545,22007.7160630546,2,"IROA_P01W02","L-GLUTAMINE"
20,169.057471342354,31.0949993133545,17936.9729208411,2,"IROA_P01W02","L-GLUTAMINE"
21,349.05405854401,60.9509968757629,168396.591268105,3,"IROA_P01W04","INOSINE 5'-PHOSPHATE"
22,371.036063031819,60.9509968757629,118149.887347546,3,"IROA_P01W04","INOSINE 5'-PHOSPHATE"
23,137.045491336268,60.9509968757629,113153.086326991,3,"IROA_P01W04","INOSINE 5'-PHOSPHATE"
24,697.101542175039,60.9509968757629,77696.8476294456,3,"IROA_P01W04","INOSINE 5'-PHOSPHATE"
25,735.047815629524,60.9509968757629,21372.3241155607,3,"IROA_P01W04","INOSINE 5'-PHOSPHATE"
26,350.056173510259,60.9509968757629,20850.835056157,3,"IROA_P01W04","INOSINE 5'-PHOSPHATE"
27,393.017352972147,60.9509968757629,15408.7898075539,3,"IROA_P01W04","INOSINE 5'-PHOSPHATE"
28,387.002402005154,60.9509968757629,15040.1892546579,3,"IROA_P01W04","INOSINE 5'-PHOSPHATE"
29,433.006185367262,60.9509968757629,13116.5865348457,3,"IROA_P01W04","INOSINE 5'-PHOSPHATE"
30,215.016398328785,63.1629967689514,164880.012907965,4,"IROA_P01W05","CITRATE"
31,221.036436394083,63.1629967689514,106242.452711358,4,"IROA_P01W05","CITRATE"
32,429.028299015603,63.1629967689514,25852.6854382121,4,"IROA_P01W05","CITRATE"
33,423.008297534884,63.1629967689514,18868.9262236319,4,"IROA_P01W05","CITRATE"
34,236.998767134076,63.1629967689514,14143.6665351927,4,"IROA_P01W05","CITRATE"
35,451.010697321108,63.1629967689514,12503.4170607476,4,"IROA_P01W05","CITRATE"
36,444.995272907247,63.1629967689514,11425.4664662107,4,"IROA_P01W05","CITRATE"
37,121.050909061089,82.5860023498535,394404.824113613,5,"IROA_P01W07","PURINE"
38,122.052977099848,82.5860023498535,27725.1125629416,5,"IROA_P01W07","PURINE"
39,332.095629871705,36.1029982566833,294720.299806289,6,"IROA_P01W08","N-ACETYLNEURAMINATE"
40,274.092435330496,36.1029982566833,228923.900597021,6,"IROA_P01W08","N-ACETYLNEURAMINATE"
41,292.103090477949,36.1029982566833,130595.810524321,6,"IROA_P01W08","N-ACETYLNEURAMINATE"
42,310.11358828045,36.1029982566833,102630.975600308,6,"IROA_P01W08","N-ACETYLNEURAMINATE"
43,657.167354905564,36.1029982566833,41064.826977214,6,"IROA_P01W08","N-ACETYLNEURAMINATE"
44,333.098440190705,36.1029982566833,35576.0054053183,6,"IROA_P01W08","N-ACETYLNEURAMINATE"
45,275.095242858063,36.1029982566833,27795.2232185472,6,"IROA_P01W08","N-ACETYLNEURAMINATE"
46,329.087266571115,36.1029982566833,21745.1208735615,6,"IROA_P01W08","N-ACETYLNEURAMINATE"
47,394.065780489959,36.1029982566833,18194.0844224712,6,"IROA_P01W08","N-ACETYLNEURAMINATE"
48,354.077129115433,36.1029982566833,18037.9777766003,6,"IROA_P01W08","N-ACETYLNEURAMINATE"
49,192.065555020797,118.31600189209,292277.874501619,7,"IROA_P01W09","L-KYNURENINE"
50,209.092172266071,118.31600189209,285239.343629346,7,"IROA_P01W09","L-KYNURENINE"
51,231.074225913525,118.31600189209,149037.956537157,7,"IROA_P01W09","L-KYNURENINE"
52,146.059905920544,118.31600189209,108523.342086333,7,"IROA_P01W09","L-KYNURENINE"
53,136.075483915396,118.31600189209,47870.9739415441,7,"IROA_P01W09","L-KYNURENINE"
54,174.054629521133,118.31600189209,37060.5292707226,7,"IROA_P01W09","L-KYNURENINE"
55,253.055873977896,118.31600189209,33418.1527499058,7,"IROA_P01W09","L-KYNURENINE"
56,210.095026064947,118.31600189209,33206.5998768852,7,"IROA_P01W09","L-KYNURENINE"
57,193.0685179105,118.31600189209,32359.6209031224,7,"IROA_P01W09","L-KYNURENINE"
58,713.190565310192,118.31600189209,26629.2211148169,7,"IROA_P01W09","L-KYNURENINE"
59,455.123824465272,118.31600189209,25573.700751967,7,"IROA_P01W09","L-KYNURENINE"
60,118.064914102059,118.31600189209,18862.5869616431,7,"IROA_P01W09","L-KYNURENINE"
61,232.077077526581,118.31600189209,17263.1656997438,7,"IROA_P01W09","L-KYNURENINE"
62,483.122977137052,118.31600189209,16840.2112011333,7,"IROA_P01W09","L-KYNURENINE"
63,94.0653944755955,118.31600189209,16071.9868108792,7,"IROA_P01W09","L-KYNURENINE"
64,293.044141010895,118.31600189209,14923.1950099773,7,"IROA_P01W09","L-KYNURENINE"
65,491.204043311784,50.0999987125397,584756.807984991,8,"IROA_P01W13","CYTIDINE"
66,489.191293382389,50.0999987125397,483736.114766916,8,"IROA_P01W13","CYTIDINE"
67,513.185740851912,50.0999987125397,394090.542711711,8,"IROA_P01W13","CYTIDINE"
68,511.173031449234,50.0999987125397,341020.764709171,8,"IROA_P01W13","CYTIDINE"
69,268.087229567953,50.0999987125397,317780.863137591,8,"IROA_P01W13","CYTIDINE"
70,114.063053115315,50.0999987125397,245127.179158485,8,"IROA_P01W13","CYTIDINE"
71,246.105316943562,50.0999987125397,170692.871016145,8,"IROA_P01W13","CYTIDINE"
72,266.074671524903,50.0999987125397,144200.593525096,8,"IROA_P01W13","CYTIDINE"
73,492.206825007461,50.0999987125397,144116.848826263,8,"IROA_P01W13","CYTIDINE"
74,490.196594255522,50.0999987125397,138550.442516207,8,"IROA_P01W13","CYTIDINE"
75,509.164509674638,50.0999987125397,123212.791536415,8,"IROA_P01W13","CYTIDINE"
76,487.178305626141,50.0999987125397,103415.506456774,8,"IROA_P01W13","CYTIDINE"
77,512.178382064627,50.0999987125397,95179.7818140104,8,"IROA_P01W13","CYTIDINE"
78,112.050337451439,50.0999987125397,88870.2731884282,8,"IROA_P01W13","CYTIDINE"
79,244.092635025803,50.0999987125397,69124.3961873424,8,"IROA_P01W13","CYTIDINE"
80,510.17688668202,50.0999987125397,57217.6318584235,8,"IROA_P01W13","CYTIDINE"
81,269.090430095431,50.0999987125397,40058.4681684576,8,"IROA_P01W13","CYTIDINE"
82,488.181633463086,50.0999987125397,34571.6694941509,8,"IROA_P01W13","CYTIDINE"
83,493.209953039744,50.0999987125397,33191.5731964875,8,"IROA_P01W13","CYTIDINE"
84,508.164120669953,50.0999987125397,27579.410351837,8,"IROA_P01W13","CYTIDINE"
85,509.672820247095,50.0999987125397,23390.7664712234,8,"IROA_P01W13","CYTIDINE"
86,267.078440167793,50.0999987125397,23316.181753584,8,"IROA_P01W13","CYTIDINE"
87,247.108238898879,50.0999987125397,22194.8483263298,8,"IROA_P01W13","CYTIDINE"
88,386.621346401697,50.0999987125397,19680.1455928025,8,"IROA_P01W13","CYTIDINE"
89,387.627446928608,50.0999987125397,16933.3342620158,8,"IROA_P01W13","CYTIDINE"
90,508.666363324344,50.0999987125397,15815.4739472927,8,"IROA_P01W13","CYTIDINE"
