peakid,mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,egauss,mu,sigma,h,f,dppm,scale,scpos,scmin,scmax,lmin,lmax,sample,is_filled,peakgr,peakgrcls,tmp_peakid,tmp_peakgr,new_mz,new_rt,chemid,dbid,dbname,cos
16,279,279,279,2792.459,2772.115,2823.758,12231754.0957576,11691470.2925908,598208,34,NA,NA,NA,NA,649,0,10,187,177,197,70,103,1,0,15,15,208,4,279,2792.459,NA,NA,NA,0.209798539867163
59,301,301,301,2792.459,2742.381,2840.973,2414139.36152381,2294361.56943351,71664,40,NA,NA,NA,NA,718,0,16,187,171,203,59,122,1,0,15,15,11,4,301,2788.547,NA,NA,NA,0.209798539867163
76,205,205,205,2792.459,2761.16,2823.758,1717218.07005,1650760.77714435,67984,92,NA,NA,NA,NA,722,0,10,187,177,197,90,130,1,0,15,15,12,4,205,2789.3295,NA,NA,NA,0.209798539867163
204,580.100036621094,580.100036621094,580.100036621094,2794.024,2764.29,2823.758,338430.823052631,327455.182591203,17008,40,NA,NA,NA,NA,677,0,10,188,178,198,69,107,1,0,15,15,211,4,580.100036621094,2794.024,NA,NA,NA,0.209798539867163
205,338.100006103516,338.100006103516,338.100006103516,2792.459,2745.51,2834.713,334958.829964912,288094.61787408,7985,12,NA,NA,NA,NA,696,0,14,187,173,201,74,131,1,0,15,15,19,4,338.100006103516,2789.3295,NA,NA,NA,0.209798539867163
213,317,317,317,2794.024,2747.075,2825.323,304253.26336,276430.843897314,9241,14,NA,NA,NA,NA,695,0,14,188,174,202,59,109,1,0,15,15,16,4,317,2790.112,NA,NA,NA,0.209798539867163
216,281.100006103516,281.100006103516,281.100006103516,2790.894,2773.68,2822.193,296703.943064518,262847.571432172,14122,12,NA,NA,NA,NA,640,0,10,186,176,196,74,105,1,0,15,15,20,4,281.100006103516,2787.7645,NA,NA,NA,0.209798539867163
229,302,302,302,2794.024,2770.55,2823.758,266218.403294116,252016.669305397,12756,14,NA,NA,NA,NA,667,0,10,188,178,198,67,101,1,0,15,15,18,4,302,2789.3295,NA,NA,NA,0.209798539867163
231,206,206,206,2792.459,2761.16,2823.758,261254.31795,232710.080141096,9312,20,NA,NA,NA,NA,678,0,10,187,177,197,72,112,1,0,15,15,21,4,206,2788.547,NA,NA,NA,0.209798539867163
45,281.200012207031,281.200012207031,281.200012207031,3673.528,3640.664,3711.087,3985959.0145111,3894855.69494474,125792,63,NA,NA,NA,NA,3542,0,10,750,740,760,71,116,1,0,26,26,212,6,281.200012207031,3673.528,NA,NA,NA,0.00612543498181195
