pid	mz	mzmin	mzmax	rt	rtmin	rtmax	into	intb	maxo	sn	egauss	mu	sigma	h	f	dppm	scale	scpos	scmin	scmax	lmin	lmax	sample	is_filled	comp	cls	cid
1	508.200012207031	508.200012207031	508.200012207031	3517.033	3484.169	3556.157	51447048.9320872	50869269.8462021	1298944	162	NA	NA	NA	NA	4215	0	10	650	640	660	83	129	1	0	1	1	1
2	524.200012207031	524.200012207031	524.200012207031	3665.703	3634.404	3709.522	39136402.882	39007334.3317278	1102848	755	NA	NA	NA	NA	4672	0	10	745	735	755	132	180	1	0	2	2	2
3	496.200012207031	496.200012207031	496.200012207031	3385.577	3352.713	3421.571	35624412.4389089	35152805.3474862	1128960	181	NA	NA	NA	NA	3589	0	10	566	556	576	119	163	1	0	3	3	3
5	522.200012207031	522.200012207031	522.200012207031	3344.888	3301.069	3382.447	26030588.9998847	25527867.8220487	889280	127	NA	NA	NA	NA	3652	0	16	540	524	556	70	122	1	0	4	4	4
6	530.200012207031	530.200012207031	530.200012207031	3344.888	3319.849	3382.447	24380864.65875	23476085.1289705	826432	43	NA	NA	NA	NA	3078	0	10	540	530	550	78	118	1	0	4	4	4
7	343	343	343	2678.218	2637.529	2712.647	24147443.2347083	23208539.986976	672064	22	NA	NA	NA	NA	628	0	10	114	104	124	78	126	1	0	5	5	5
8	526.100036621094	526.100036621094	526.100036621094	3168.048	3138.314	3200.912	21557225.37375	20268303.0233579	706240	20	NA	NA	NA	NA	2470	0	10	427	417	437	78	118	1	0	6	6	6
9	502.100006103516	502.100006103516	502.100006103516	3158.659	3127.359	3193.087	20973789.1504762	20228371.2574769	765440	47	NA	NA	NA	NA	2588	0	10	421	411	431	83	125	1	0	7	7	7
10	279	279	279	2784.635	2693.867	2842.538	20775105.5698421	19847310.6145462	805248	55	NA	NA	NA	NA	874	0	20	182	162	202	33	128	1	0	8	8	8
11	522.200012207031	522.200012207031	522.200012207031	3410.616	3379.317	3445.045	19819383.2472381	19318716.3213572	598912	85	NA	NA	NA	NA	3652	0	10	582	572	592	120	162	1	0	9	9	9
12	365	365	365	2679.783	2634.399	2717.342	14975760.8453019	14630908.0670338	357632	45	NA	NA	NA	NA	784	0	10	115	105	125	72	125	1	0	5	5	5
13	509.200012207031	509.200012207031	509.200012207031	3517.033	3484.169	3556.157	14682760.1175653	14207475.0936004	372928	39	NA	NA	NA	NA	3865	0	10	650	640	660	74	120	1	0	1	1	1
14	454.100006103516	454.100006103516	454.100006103516	3277.595	3247.861	3304.199	12392206.6364445	12089000.9227185	554112	59	NA	NA	NA	NA	2866	0	10	497	487	507	69	105	1	0	10	10	10
15	496.200012207031	496.200012207031	496.200012207031	3316.719	3288.55	3352.713	12073410.8643902	11658355.0164557	459776	73	NA	NA	NA	NA	3589	0	10	522	512	532	78	119	1	0	11	11	11
16	525.200012207031	525.200012207031	525.200012207031	3665.703	3632.839	3707.957	11523323.4240833	11465631.5781296	323072	445	NA	NA	NA	NA	4647	0	10	745	735	755	117	165	1	0	2	2	2
17	464.200012207031	464.200012207031	464.200012207031	3456	3423.136	3490.429	11405046.1232093	11209882.5910398	380736	101	NA	NA	NA	NA	3597	0	10	611	601	621	76	119	1	0	12	12	12
18	497.200012207031	497.200012207031	497.200012207031	3385.577	3352.713	3420.006	9693864.94583716	9278193.33692671	310912	41	NA	NA	NA	NA	3306	0	10	566	556	576	79	122	1	0	3	3	3
19	360	360	360	2682.913	2635.964	2718.907	9034381.60945285	8518838.59471323	317568	20	NA	NA	NA	NA	564	0	10	117	107	127	53	106	1	0	13	13	13
20	536.200012207031	536.200012207031	536.200012207031	3704.827	3675.093	3739.256	8693100.58073171	8575745.99939103	330176	182	NA	NA	NA	NA	4583	0	10	770	760	780	78	119	1	0	14	14	14
22	531.200012207031	531.200012207031	531.200012207031	3344.888	3321.414	3380.882	7499526.69442103	7127368.53299926	254464	38	NA	NA	NA	NA	3067	0	10	540	530	550	78	116	1	0	4	4	4
23	550.200012207031	550.200012207031	550.200012207031	3643.794	3621.885	3675.093	7448857.0898823	7017311.16457407	292480	18	NA	NA	NA	NA	4236	0	10	731	721	741	78	112	1	0	15	15	15
